Name,LastName,CommonName
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Faunthorpe,Lizzie (Elizabeth Anne Wilkinson)
"Ostby, Mr. Engelhart Cornelius",Ostby,Engelhart Cornelius
"Woolner, Mr. Hugh",Woolner,Hugh
"Rugg, Miss. Emily",Rugg,Emily
"Novel, Mr. Mansouer",Novel,Mansouer
"West, Miss. Constance Mirium",West,Constance Mirium
"Goodwin, Master. William Frederick",Goodwin,William Frederick
"Sirayanian, Mr. Orsen",Sirayanian,Orsen
"Icard, Miss. Amelie",Icard,Amelie
"Harris, Mr. Henry Birkhardt",Harris,Henry Birkhardt
"Skoog, Master. Harald",Skoog,Harald
"Stewart, Mr. Albert A",Stewart,Albert A
"Moubarek, Master. Gerios",Moubarek,Gerios
"Nye, Mrs. (Elizabeth Ramell)",Nye,(Elizabeth Ramell)
"Crease, Mr. Ernest James",Crease,Ernest James
"Andersson, Miss. Erna Alexandra",Andersson,Erna Alexandra
"Kink, Mr. Vincenz",Kink,Vincenz
"Jenkin, Mr. Stephen Curnow",Jenkin,Stephen Curnow
"Goodwin, Miss. Lillian Amy",Goodwin,Lillian Amy
"Hood, Mr. Ambrose Jr",Hood,Ambrose Jr
"Chronopoulos, Mr. Apostolos",Chronopoulos,Apostolos
"Bing, Mr. Lee",Bing,Lee
"Moen, Mr. Sigurd Hansen",Moen,Sigurd Hansen
"Staneff, Mr. Ivan",Staneff,Ivan
"Moutal, Mr. Rahamin Haim",Moutal,Rahamin Haim
"Caldwell, Master. Alden Gates",Caldwell,Alden Gates
"Dowdell, Miss. Elizabeth",Dowdell,Elizabeth
"Waelens, Mr. Achille",Waelens,Achille
"Sheerlinck, Mr. Jan Baptist",Sheerlinck,Jan Baptist
"McDermott, Miss. Brigdet Delia",McDermott,Brigdet Delia
"Carrau, Mr. Francisco M",Carrau,Francisco M
"Ilett, Miss. Bertha",Ilett,Bertha
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Backstrom,Karl Alfred (Maria Mathilda Gustafsson)
"Ford, Mr. William Neal",Ford,William Neal
"Slocovski, Mr. Selman Francis",Slocovski,Selman Francis
"Fortune, Miss. Mabel Helen",Fortune,Mabel Helen
"Celotti, Mr. Francesco",Celotti,Francesco
"Christmann, Mr. Emil",Christmann,Emil
"Andreasson, Mr. Paul Edvin",Andreasson,Paul Edvin
"Chaffee, Mr. Herbert Fuller",Chaffee,Herbert Fuller
"Dean, Mr. Bertram Frank",Dean,Bertram Frank
"Coxon, Mr. Daniel",Coxon,Daniel
"Shorney, Mr. Charles Joseph",Shorney,Charles Joseph
"Goldschmidt, Mr. George B",Goldschmidt,George B
"Greenfield, Mr. William Bertram",Greenfield,William Bertram
"Doling, Mrs. John T (Ada Julia Bone)",Doling,John T (Ada Julia Bone)
"Kantor, Mr. Sinai",Kantor,Sinai
"Petranec, Miss. Matilda",Petranec,Matilda
"Petroff, Mr. Pastcho (""Pentcho"")",Petroff,Pastcho (
"White, Mr. Richard Frasar",White,Richard Frasar
"Johansson, Mr. Gustaf Joel",Johansson,Gustaf Joel
"Gustafsson, Mr. Anders Vilhelm",Gustafsson,Anders Vilhelm
"Mionoff, Mr. Stoytcho",Mionoff,Stoytcho
"Salkjelsvik, Miss. Anna Kristine",Salkjelsvik,Anna Kristine
"Moss, Mr. Albert Johan",Moss,Albert Johan
"Rekic, Mr. Tido",Rekic,Tido
"Moran, Miss. Bertha",Moran,Bertha
"Porter, Mr. Walter Chamberlain",Porter,Walter Chamberlain
"Zabour, Miss. Hileni",Zabour,Hileni
"Barton, Mr. David John",Barton,David John
"Jussila, Miss. Katriina",Jussila,Katriina
"Attalah, Miss. Malake",Attalah,Malake
"Pekoniemi, Mr. Edvard",Pekoniemi,Edvard
"Connors, Mr. Patrick",Connors,Patrick
"Turpin, Mr. William John Robert",Turpin,William John Robert
"Baxter, Mr. Quigg Edmond",Baxter,Quigg Edmond
"Andersson, Miss. Ellis Anna Maria",Andersson,Ellis Anna Maria
"Hickman, Mr. Stanley George",Hickman,Stanley George
"Moore, Mr. Leonard Charles",Moore,Leonard Charles
"Nasser, Mr. Nicholas",Nasser,Nicholas
"Webber, Miss. Susan",Webber,Susan
"White, Mr. Percival Wayland",White,Percival Wayland
"Nicola-Yarred, Master. Elias",Yarred,Elias
"McMahon, Mr. Martin",McMahon,Martin
"Madsen, Mr. Fridtjof Arne",Madsen,Fridtjof Arne
"Peter, Miss. Anna",Peter,Anna
"Ekstrom, Mr. Johan",Ekstrom,Johan
"Drazenoic, Mr. Jozef",Drazenoic,Jozef
"Coelho, Mr. Domingos Fernandeo",Coelho,Domingos Fernandeo
"Robins, Mrs. Alexander A (Grace Charity Laury)",Robins,Alexander A (Grace Charity Laury)
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Weisz,Leopold (Mathilde Francoise Pede)
"Sobey, Mr. Samuel James Hayden",Sobey,Samuel James Hayden
"Richard, Mr. Emile",Richard,Emile
"Newsom, Miss. Helen Monypeny",Newsom,Helen Monypeny
"Futrelle, Mr. Jacques Heath",Futrelle,Jacques Heath
"Osen, Mr. Olaf Elon",Osen,Olaf Elon
"Giglio, Mr. Victor",Giglio,Victor
"Boulos, Mrs. Joseph (Sultana)",Boulos,Joseph (Sultana)
"Nysten, Miss. Anna Sofia",Nysten,Anna Sofia
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Hakkarainen,Pekka Pietari (Elin Matilda Dolck)
"Burke, Mr. Jeremiah",Burke,Jeremiah
"Andrew, Mr. Edgardo Samuel",Andrew,Edgardo Samuel
"Nicholls, Mr. Joseph Charles",Nicholls,Joseph Charles
"Andersson, Mr. August Edvard (""Wennerstrom"")",Andersson,August Edvard (
"Ford, Miss. Robina Maggie ""Ruby""",Ford,Robina Maggie
"Navratil, Mr. Michel (""Louis M Hoffman"")",Navratil,Michel (
"Byles, Rev. Thomas Roussel Davids",Byles,Thomas Roussel Davids
"Bateman, Rev. Robert James",Bateman,Robert James
"Pears, Mrs. Thomas (Edith Wearne)",Pears,Thomas (Edith Wearne)
"Meo, Mr. Alfonzo",Meo,Alfonzo
"van Billiard, Mr. Austin Blyler",van Billiard,Austin Blyler
"Olsen, Mr. Ole Martin",Olsen,Ole Martin
"Williams, Mr. Charles Duane",Williams,Charles Duane
"Gilnagh, Miss. Katherine ""Katie""",Gilnagh,Katherine
"Corn, Mr. Harry",Corn,Harry
"Smiljanic, Mr. Mile",Smiljanic,Mile
"Sage, Master. Thomas Henry",Sage,Thomas Henry
"Cribb, Mr. John Hatfield",Cribb,John Hatfield
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Watt,James (Elizabeth
"Bengtsson, Mr. John Viktor",Bengtsson,John Viktor
"Calic, Mr. Jovo",Calic,Jovo
"Panula, Master. Eino Viljami",Panula,Eino Viljami
"Goldsmith, Master. Frank John William ""Frankie""",Goldsmith,Frank John William
"Chibnall, Mrs. (Edith Martha Bowerman)",Chibnall,(Edith Martha Bowerman)
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Skoog,William (Anna Bernhardina Karlsson)
"Baumann, Mr. John D",Baumann,John D
"Ling, Mr. Lee",Ling,Lee
"Van der hoef, Mr. Wyckoff",Van der hoef,Wyckoff
"Rice, Master. Arthur",Rice,Arthur
"Johnson, Miss. Eleanor Ileen",Johnson,Eleanor Ileen
"Sivola, Mr. Antti Wilhelm",Sivola,Antti Wilhelm
"Smith, Mr. James Clinch",Smith,James Clinch
"Klasen, Mr. Klas Albin",Klasen,Klas Albin
"Lefebre, Master. Henry Forbes",Lefebre,Henry Forbes
"Isham, Miss. Ann Elizabeth",Isham,Ann Elizabeth
"Hale, Mr. Reginald",Hale,Reginald
"Leonard, Mr. Lionel",Leonard,Lionel
"Sage, Miss. Constance Gladys",Sage,Constance Gladys
"Pernot, Mr. Rene",Pernot,Rene
"Asplund, Master. Clarence Gustaf Hugo",Asplund,Clarence Gustaf Hugo
"Becker, Master. Richard F",Becker,Richard F
"Kink-Heilmann, Miss. Luise Gretchen",Heilmann,Luise Gretchen
"Rood, Mr. Hugh Roscoe",Rood,Hugh Roscoe
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",Brien,Thomas (Johanna
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Romaine,Charles Hallace (
"Bourke, Mr. John",Bourke,John
"Turcin, Mr. Stjepan",Turcin,Stjepan
"Pinsky, Mrs. (Rosa)",Pinsky,(Rosa)
"Carbines, Mr. William",Carbines,William
"Andersen-Jensen, Miss. Carla Christine Nielsine",Jensen,Carla Christine Nielsine
"Navratil, Master. Michel M",Navratil,Michel M
"Brown, Mrs. James Joseph (Margaret Tobin)",Brown,James Joseph (Margaret Tobin)
"Lurette, Miss. Elise",Lurette,Elise
"Mernagh, Mr. Robert",Mernagh,Robert
"Olsen, Mr. Karl Siegwart Andreas",Olsen,Karl Siegwart Andreas
"Madigan, Miss. Margaret ""Maggie""",Madigan,Margaret
"Yrois, Miss. Henriette (""Mrs Harbeck"")",Yrois,Henriette (
"Vande Walle, Mr. Nestor Cyriel",Vande Walle,Nestor Cyriel
"Sage, Mr. Frederick",Sage,Frederick
"Johanson, Mr. Jakob Alfred",Johanson,Jakob Alfred
"Youseff, Mr. Gerious",Youseff,Gerious
"Cohen, Mr. Gurshon ""Gus""",Cohen,Gurshon
"Strom, Miss. Telma Matilda",Strom,Telma Matilda
"Backstrom, Mr. Karl Alfred",Backstrom,Karl Alfred
"Albimona, Mr. Nassef Cassem",Albimona,Nassef Cassem
"Carr, Miss. Helen ""Ellen""",Carr,Helen
"Blank, Mr. Henry",Blank,Henry
"Ali, Mr. Ahmed",Ali,Ahmed
"Cameron, Miss. Clear Annie",Cameron,Clear Annie
"Perkin, Mr. John Henry",Perkin,John Henry
"Givard, Mr. Hans Kristensen",Givard,Hans Kristensen
"Kiernan, Mr. Philip",Kiernan,Philip
"Newell, Miss. Madeleine",Newell,Madeleine
"Honkanen, Miss. Eliina",Honkanen,Eliina
"Jacobsohn, Mr. Sidney Samuel",Jacobsohn,Sidney Samuel
"Bazzani, Miss. Albina",Bazzani,Albina
"Harris, Mr. Walter",Harris,Walter
"Sunderland, Mr. Victor Francis",Sunderland,Victor Francis
"Bracken, Mr. James H",Bracken,James H
"Green, Mr. George Henry",Green,George Henry
"Nenkoff, Mr. Christo",Nenkoff,Christo
"Hoyt, Mr. Frederick Maxfield",Hoyt,Frederick Maxfield
"Berglund, Mr. Karl Ivar Sven",Berglund,Karl Ivar Sven
"Mellors, Mr. William John",Mellors,William John
"Lovell, Mr. John Hall (""Henry"")",Lovell,John Hall (
"Fahlstrom, Mr. Arne Jonas",Fahlstrom,Arne Jonas
"Lefebre, Miss. Mathilde",Lefebre,Mathilde
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Harris,Henry Birkhardt (Irene Wallach)
"Larsson, Mr. Bengt Edvin",Larsson,Bengt Edvin
"Sjostedt, Mr. Ernst Adolf",Sjostedt,Ernst Adolf
"Asplund, Miss. Lillian Gertrud",Asplund,Lillian Gertrud
"Leyson, Mr. Robert William Norman",Leyson,Robert William Norman
"Harknett, Miss. Alice Phoebe",Harknett,Alice Phoebe
"Hold, Mr. Stephen",Hold,Stephen
"Collyer, Miss. Marjorie ""Lottie""",Collyer,Marjorie
"Pengelly, Mr. Frederick William",Pengelly,Frederick William
"Hunt, Mr. George Henry",Hunt,George Henry
"Zabour, Miss. Thamine",Zabour,Thamine
"Murphy, Miss. Katherine ""Kate""",Murphy,Katherine
"Coleridge, Mr. Reginald Charles",Coleridge,Reginald Charles
"Maenpaa, Mr. Matti Alexanteri",Maenpaa,Matti Alexanteri
"Attalah, Mr. Sleiman",Attalah,Sleiman
"Minahan, Dr. William Edward",Minahan,William Edward
"Lindahl, Miss. Agda Thorilda Viktoria",Lindahl,Agda Thorilda Viktoria
"Hamalainen, Mrs. William (Anna)",Hamalainen,William (Anna)
"Beckwith, Mr. Richard Leonard",Beckwith,Richard Leonard
"Carter, Rev. Ernest Courtenay",Carter,Ernest Courtenay
"Reed, Mr. James George",Reed,James George
"Strom, Mrs. Wilhelm (Elna Matilda Persson)",Strom,Wilhelm (Elna Matilda Persson)
"Stead, Mr. William Thomas",Stead,William Thomas
"Lobb, Mr. William Arthur",Lobb,William Arthur
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",Rosblom,Viktor (Helena Wilhelmina)
"Touma, Mrs. Darwis (Hanne Youssef Razi)",Touma,Darwis (Hanne Youssef Razi)
"Thorne, Mrs. Gertrude Maybelle",Thorne,Gertrude Maybelle
"Cherry, Miss. Gladys",Cherry,Gladys
"Ward, Miss. Anna",Ward,Anna
"Parrish, Mrs. (Lutie Davis)",Parrish,(Lutie Davis)
"Smith, Mr. Thomas",Smith,Thomas
"Asplund, Master. Edvin Rojj Felix",Asplund,Edvin Rojj Felix
"Taussig, Mr. Emil",Taussig,Emil
"Harrison, Mr. William",Harrison,William
"Henry, Miss. Delia",Henry,Delia
"Reeves, Mr. David",Reeves,David
"Panula, Mr. Ernesti Arvid",Panula,Ernesti Arvid
"Persson, Mr. Ernst Ulrik",Persson,Ernst Ulrik
"Graham, Mrs. William Thompson (Edith Junkins)",Graham,William Thompson (Edith Junkins)
"Bissette, Miss. Amelia",Bissette,Amelia
"Cairns, Mr. Alexander",Cairns,Alexander
"Tornquist, Mr. William Henry",Tornquist,William Henry
"Mellinger, Mrs. (Elizabeth Anne Maidment)",Mellinger,(Elizabeth Anne Maidment)
"Natsch, Mr. Charles H",Natsch,Charles H
"Healy, Miss. Hanora ""Nora""",Healy,Hanora
"Andrews, Miss. Kornelia Theodosia",Andrews,Kornelia Theodosia
"Lindblom, Miss. Augusta Charlotta",Lindblom,Augusta Charlotta
"Parkes, Mr. Francis ""Frank""",Parkes,Francis
"Rice, Master. Eric",Rice,Eric
"Abbott, Mrs. Stanton (Rosa Hunt)",Abbott,Stanton (Rosa Hunt)
"Duane, Mr. Frank",Duane,Frank
"Olsson, Mr. Nils Johan Goransson",Olsson,Nils Johan Goransson
"de Pelsmaeker, Mr. Alfons",de Pelsmaeker,Alfons
"Dorking, Mr. Edward Arthur",Dorking,Edward Arthur
"Smith, Mr. Richard William",Smith,Richard William
"Stankovic, Mr. Ivan",Stankovic,Ivan
"de Mulder, Mr. Theodore",de Mulder,Theodore
"Naidenoff, Mr. Penko",Naidenoff,Penko
"Hosono, Mr. Masabumi",Hosono,Masabumi
"Connolly, Miss. Kate",Connolly,Kate
"Barber, Miss. Ellen ""Nellie""",Barber,Ellen
"Bishop, Mrs. Dickinson H (Helen Walton)",Bishop,Dickinson H (Helen Walton)
"Levy, Mr. Rene Jacques",Levy,Rene Jacques
"Haas, Miss. Aloisia",Haas,Aloisia
"Mineff, Mr. Ivan",Mineff,Ivan
"Lewy, Mr. Ervin G",Lewy,Ervin G
"Hanna, Mr. Mansour",Hanna,Mansour
"Allison, Miss. Helen Loraine",Allison,Helen Loraine
"Saalfeld, Mr. Adolphe",Saalfeld,Adolphe
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",Baxter,James (Helene DeLaudeniere Chaput)
"Kelly, Miss. Anna Katherine ""Annie Kate""",Kelly,Anna Katherine
"McCoy, Mr. Bernard",McCoy,Bernard
"Johnson, Mr. William Cahoone Jr",Johnson,William Cahoone Jr
"Keane, Miss. Nora A",Keane,Nora A
"Williams, Mr. Howard Hugh ""Harry""",Williams,Howard Hugh
"Allison, Master. Hudson Trevor",Allison,Hudson Trevor
"Fleming, Miss. Margaret",Fleming,Margaret
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",Penasco y Castellana,Victor de Satode (Maria Josefa Perez de Soto y Vallejo)
"Abelson, Mr. Samuel",Abelson,Samuel
"Francatelli, Miss. Laura Mabel",Francatelli,Laura Mabel
"Hays, Miss. Margaret Bechstein",Hays,Margaret Bechstein
"Ryerson, Miss. Emily Borie",Ryerson,Emily Borie
"Lahtinen, Mrs. William (Anna Sylfven)",Lahtinen,William (Anna Sylfven)
"Hendekovic, Mr. Ignjac",Hendekovic,Ignjac
"Hart, Mr. Benjamin",Hart,Benjamin
"Nilsson, Miss. Helmina Josefina",Nilsson,Helmina Josefina
"Kantor, Mrs. Sinai (Miriam Sternin)",Kantor,Sinai (Miriam Sternin)
"Moraweck, Dr. Ernest",Moraweck,Ernest
"Wick, Miss. Mary Natalie",Wick,Mary Natalie
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",Spedden,Frederic Oakley (Margaretta Corning Stone)
"Dennis, Mr. Samuel",Dennis,Samuel
"Danoff, Mr. Yoto",Danoff,Yoto
"Slayter, Miss. Hilda Mary",Slayter,Hilda Mary
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",Caldwell,Albert Francis (Sylvia Mae Harbaugh)
"Sage, Mr. George John Jr",Sage,George John Jr
"Young, Miss. Marie Grice",Young,Marie Grice
"Nysveen, Mr. Johan Hansen",Nysveen,Johan Hansen
"Ball, Mrs. (Ada E Hall)",Ball,(Ada E Hall)
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",Goldsmith,Frank John (Emily Alice Brown)
"Hippach, Miss. Jean Gertrude",Hippach,Jean Gertrude
"McCoy, Miss. Agnes",McCoy,Agnes
"Partner, Mr. Austen",Partner,Austen
"Graham, Mr. George Edward",Graham,George Edward
"Vander Planke, Mr. Leo Edmondus",Vander Planke,Leo Edmondus
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",Frauenthal,Henry William (Clara Heinsheimer)
"Denkoff, Mr. Mitto",Denkoff,Mitto
"Pears, Mr. Thomas Clinton",Pears,Thomas Clinton
"Burns, Miss. Elizabeth Margaret",Burns,Elizabeth Margaret
"Dahl, Mr. Karl Edwart",Dahl,Karl Edwart
"Blackwell, Mr. Stephen Weart",Blackwell,Stephen Weart
"Navratil, Master. Edmond Roger",Navratil,Edmond Roger
"Fortune, Miss. Alice Elizabeth",Fortune,Alice Elizabeth
"Collander, Mr. Erik Gustaf",Collander,Erik Gustaf
"Sedgwick, Mr. Charles Frederick Waddington",Sedgwick,Charles Frederick Waddington
"Fox, Mr. Stanley Hubert",Fox,Stanley Hubert
"Brown, Miss. Amelia ""Mildred""",Brown,Amelia
"Smith, Miss. Marion Elsie",Smith,Marion Elsie
"Davison, Mrs. Thomas Henry (Mary E Finck)",Davison,Thomas Henry (Mary E Finck)
"Coutts, Master. William Loch ""William""",Coutts,William Loch
"Dimic, Mr. Jovan",Dimic,Jovan
"Odahl, Mr. Nils Martin",Odahl,Nils Martin
"Williams-Lambert, Mr. Fletcher Fellows",Lambert,Fletcher Fellows
"Elias, Mr. Tannous",Elias,Tannous
"Arnold-Franchi, Mr. Josef",Franchi,Josef
"Yousif, Mr. Wazli",Yousif,Wazli
"Vanden Steen, Mr. Leo Peter",Vanden Steen,Leo Peter
"Bowerman, Miss. Elsie Edith",Bowerman,Elsie Edith
"Funk, Miss. Annie Clemmer",Funk,Annie Clemmer
"McGovern, Miss. Mary",McGovern,Mary
"Mockler, Miss. Helen Mary ""Ellie""",Mockler,Helen Mary
"Skoog, Mr. Wilhelm",Skoog,Wilhelm
"del Carlo, Mr. Sebastiano",del Carlo,Sebastiano
"Barbara, Mrs. (Catherine David)",Barbara,(Catherine David)
"Asim, Mr. Adola",Asim,Adola
"O'Brien, Mr. Thomas",Brien,Thomas
"Adahl, Mr. Mauritz Nils Martin",Adahl,Mauritz Nils Martin
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",Warren,Frank Manley (Anna Sophia Atkinson)
"Moussa, Mrs. (Mantoura Boulos)",Moussa,(Mantoura Boulos)
"Jermyn, Miss. Annie",Jermyn,Annie
"Aubart, Mme. Leontine Pauline",Aubart,Leontine Pauline
"Harder, Mr. George Achilles",Harder,George Achilles
"Wiklund, Mr. Jakob Alfred",Wiklund,Jakob Alfred
"Beavan, Mr. William Thomas",Beavan,William Thomas
"Ringhini, Mr. Sante",Ringhini,Sante
"Palsson, Miss. Stina Viola",Palsson,Stina Viola
"Meyer, Mrs. Edgar Joseph (Leila Saks)",Meyer,Edgar Joseph (Leila Saks)
"Landergren, Miss. Aurora Adelia",Landergren,Aurora Adelia
"Widener, Mr. Harry Elkins",Widener,Harry Elkins
"Betros, Mr. Tannous",Betros,Tannous
"Gustafsson, Mr. Karl Gideon",Gustafsson,Karl Gideon
"Bidois, Miss. Rosalie",Bidois,Rosalie
"Nakid, Miss. Maria (""Mary"")",Nakid,Maria (
"Tikkanen, Mr. Juho",Tikkanen,Juho
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",Holverson,Alexander Oskar (Mary Aline Towner)
"Plotcharsky, Mr. Vasil",Plotcharsky,Vasil
"Davies, Mr. Charles Henry",Davies,Charles Henry
"Goodwin, Master. Sidney Leonard",Goodwin,Sidney Leonard
"Buss, Miss. Kate",Buss,Kate
"Sadlier, Mr. Matthew",Sadlier,Matthew
"Lehmann, Miss. Bertha",Lehmann,Bertha
"Carter, Mr. William Ernest",Carter,William Ernest
"Jansson, Mr. Carl Olof",Jansson,Carl Olof
"Gustafsson, Mr. Johan Birger",Gustafsson,Johan Birger
"Newell, Miss. Marjorie",Newell,Marjorie
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",Sandstrom,Hjalmar (Agnes Charlotta Bengtsson)
"Johansson, Mr. Erik",Johansson,Erik
"Olsson, Miss. Elina",Olsson,Elina
"McKane, Mr. Peter David",McKane,Peter David
"Pain, Dr. Alfred",Pain,Alfred
"Trout, Mrs. William H (Jessie L)",Trout,William H (Jessie L)
"Niskanen, Mr. Juha",Niskanen,Juha
"Adams, Mr. John",Adams,John
"Jussila, Miss. Mari Aina",Jussila,Mari Aina
"Hakkarainen, Mr. Pekka Pietari",Hakkarainen,Pekka Pietari
"Oreskovic, Miss. Marija",Oreskovic,Marija
"Gale, Mr. Shadrach",Gale,Shadrach
"Widegren, Mr. Carl/Charles Peter",Widegren,Carl
"Richards, Master. William Rowe",Richards,William Rowe
"Birkeland, Mr. Hans Martin Monsen",Birkeland,Hans Martin Monsen
"Lefebre, Miss. Ida",Lefebre,Ida
"Sdycoff, Mr. Todor",Sdycoff,Todor
"Hart, Mr. Henry",Hart,Henry
"Minahan, Miss. Daisy E",Minahan,Daisy E
"Cunningham, Mr. Alfred Fleming",Cunningham,Alfred Fleming
"Sundman, Mr. Johan Julian",Sundman,Johan Julian
"Meek, Mrs. Thomas (Annie Louise Rowley)",Meek,Thomas (Annie Louise Rowley)
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",Drew,James Vivian (Lulu Thorne Christian)
"Silven, Miss. Lyyli Karoliina",Silven,Lyyli Karoliina
"Matthews, Mr. William John",Matthews,William John
"Van Impe, Miss. Catharina",Van Impe,Catharina
"Gheorgheff, Mr. Stanio",Gheorgheff,Stanio
"Charters, Mr. David",Charters,David
"Zimmerman, Mr. Leo",Zimmerman,Leo
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",Danbom,Ernst Gilbert (Anna Sigrid Maria Brogren)
"Rosblom, Mr. Viktor Richard",Rosblom,Viktor Richard
"Wiseman, Mr. Phillippe",Wiseman,Phillippe
"Clarke, Mrs. Charles V (Ada Maria Winfield)",Clarke,Charles V (Ada Maria Winfield)
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",Phillips,Kate Florence (
"Flynn, Mr. James",Flynn,James
"Pickard, Mr. Berk (Berk Trembisky)",Pickard,Berk (Berk Trembisky)
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",Steffansson,Mauritz Hakan
"Thorneycroft, Mrs. Percival (Florence Kate White)",Thorneycroft,Percival (Florence Kate White)
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",Louch,Charles Alexander (Alice Adelaide Slow)
"Kallio, Mr. Nikolai Erland",Kallio,Nikolai Erland
"Silvey, Mr. William Baird",Silvey,William Baird
"Carter, Miss. Lucile Polk",Carter,Lucile Polk
